preprocessed_path,features_path,preprocessed_name,meta_key,species,file,url,local_path,RN,CU,NC,SR,CS,PL,SC,GS,GA,OD,NT,DA,NA,GC,SH,AU,LO,RG,ST,file_no_ext,meta_source_dir,GB,HY,RC,OS,OT,BH,ID,AG,IA,IP,AP,DA_parsed,GA_first,RG_first,group,split
preprocessed\Fin_Finback_Whale\6107900D_chunk3.npy,features\Fin_Finback_Whale\6107900D_chunk3.npz,6107900D_chunk3,6107900D,"Fin, Finback Whale",6107900D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900D.wav,dataset\Fin_Finback_Whale\6107900D.wav,6107900D,0  B38:13.76  17:03.735,11A,600,81.466,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900D,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900D_chunk4.npy,features\Fin_Finback_Whale\6107900D_chunk4.npz,6107900D_chunk4,6107900D,"Fin, Finback Whale",6107900D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900D.wav,dataset\Fin_Finback_Whale\6107900D.wav,6107900D,0  B38:13.76  17:03.735,11A,600,81.466,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900D,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900D_chunk5.npy,features\Fin_Finback_Whale\6107900D_chunk5.npz,6107900D_chunk5,6107900D,"Fin, Finback Whale",6107900D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900D.wav,dataset\Fin_Finback_Whale\6107900D.wav,6107900D,0  B38:13.76  17:03.735,11A,600,81.466,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900D,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900D_chunk6.npy,features\Fin_Finback_Whale\6107900D_chunk6.npz,6107900D_chunk6,6107900D,"Fin, Finback Whale",6107900D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900D.wav,dataset\Fin_Finback_Whale\6107900D.wav,6107900D,0  B38:13.76  17:03.735,11A,600,81.466,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900D,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900D_chunk7.npy,features\Fin_Finback_Whale\6107900D_chunk7.npz,6107900D_chunk7,6107900D,"Fin, Finback Whale",6107900D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900D.wav,dataset\Fin_Finback_Whale\6107900D.wav,6107900D,0  B38:13.76  17:03.735,11A,600,81.466,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900D,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk0.npy,features\Fin_Finback_Whale\6107900E_chunk0.npz,6107900E_chunk0,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk1.npy,features\Fin_Finback_Whale\6107900E_chunk1.npz,6107900E_chunk1,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk2.npy,features\Fin_Finback_Whale\6107900E_chunk2.npz,6107900E_chunk2,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk3.npy,features\Fin_Finback_Whale\6107900E_chunk3.npz,6107900E_chunk3,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk4.npy,features\Fin_Finback_Whale\6107900E_chunk4.npz,6107900E_chunk4,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk5.npy,features\Fin_Finback_Whale\6107900E_chunk5.npz,6107900E_chunk5,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900E_chunk6.npy,features\Fin_Finback_Whale\6107900E_chunk6.npz,6107900E_chunk6,6107900E,"Fin, Finback Whale",6107900E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900E.wav,dataset\Fin_Finback_Whale\6107900E.wav,6107900E,0  B38:13.76  18:35.866,11A,600,81.49,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.  7 21 Hz moans from 1 close animal.,22-Nov-1994,1  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900E,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk0.npy,features\Fin_Finback_Whale\6107900F_chunk0.npz,6107900F_chunk0,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk1.npy,features\Fin_Finback_Whale\6107900F_chunk1.npz,6107900F_chunk1,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk2.npy,features\Fin_Finback_Whale\6107900F_chunk2.npz,6107900F_chunk2,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk3.npy,features\Fin_Finback_Whale\6107900F_chunk3.npz,6107900F_chunk3,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk4.npy,features\Fin_Finback_Whale\6107900F_chunk4.npz,6107900F_chunk4,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900F_chunk5.npy,features\Fin_Finback_Whale\6107900F_chunk5.npz,6107900F_chunk5,6107900F,"Fin, Finback Whale",6107900F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900F.wav,dataset\Fin_Finback_Whale\6107900F.wav,6107900F,0  B38:13.76  20:16.585,11A,600,66.983,Crown-4-CH/ K-H H0.22,OTF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 2 close animals.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900F,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900G_chunk0.npy,features\Fin_Finback_Whale\6107900G_chunk0.npz,6107900G_chunk0,6107900G,"Fin, Finback Whale",6107900G.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900G.wav,dataset\Fin_Finback_Whale\6107900G.wav,6107900G,0  B38:13.76  21:19.235,11A,600,46.8,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900G,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900G_chunk1.npy,features\Fin_Finback_Whale\6107900G_chunk1.npz,6107900G_chunk1,6107900G,"Fin, Finback Whale",6107900G.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900G.wav,dataset\Fin_Finback_Whale\6107900G.wav,6107900G,0  B38:13.76  21:19.235,11A,600,46.8,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900G,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900G_chunk2.npy,features\Fin_Finback_Whale\6107900G_chunk2.npz,6107900G_chunk2,6107900G,"Fin, Finback Whale",6107900G.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900G.wav,dataset\Fin_Finback_Whale\6107900G.wav,6107900G,0  B38:13.76  21:19.235,11A,600,46.8,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900G,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900G_chunk3.npy,features\Fin_Finback_Whale\6107900G_chunk3.npz,6107900G_chunk3,6107900G,"Fin, Finback Whale",6107900G.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900G.wav,dataset\Fin_Finback_Whale\6107900G.wav,6107900G,0  B38:13.76  21:19.235,11A,600,46.8,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 1 distant animal.,22-Nov-1994,2  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900G,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900H_chunk0.npy,features\Fin_Finback_Whale\6107900H_chunk0.npz,6107900H_chunk0,6107900H,"Fin, Finback Whale",6107900H.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900H.wav,dataset\Fin_Finback_Whale\6107900H.wav,6107900H,0  B38:13.76  22:06.035,11A,600,87.1,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 2 distant animals.,22-Nov-1994,3  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900H,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900H_chunk1.npy,features\Fin_Finback_Whale\6107900H_chunk1.npz,6107900H_chunk1,6107900H,"Fin, Finback Whale",6107900H.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900H.wav,dataset\Fin_Finback_Whale\6107900H.wav,6107900H,0  B38:13.76  22:06.035,11A,600,87.1,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 2 distant animals.,22-Nov-1994,3  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900H,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
preprocessed\Fin_Finback_Whale\6107900H_chunk2.npy,features\Fin_Finback_Whale\6107900H_chunk2.npz,6107900H_chunk2,6107900H,"Fin, Finback Whale",6107900H.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6107900H.wav,dataset\Fin_Finback_Whale\6107900H.wav,6107900H,0  B38:13.76  22:06.035,11A,600,87.1,Crown-4-CH/ K-H H0.22,OF,Balaenoptera physalus  AC1F,ANWAC1F,27-Sep-1961  AC1F | SepAC1F  1961AC1F,AC1F  N42 15.2' W070 06'.   21 Hz moans from 1 close and 2 distant animals.,22-Nov-1994,3  AC1F,N42AC1F  W070AC1F,BEAR 268,WAW,"CD #5, 6 | Shiv","AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",NLAC1F | Moan  AC1F,6107900H,dataset\Fin_Finback_Whale,Georges Bank  AC1F,Flat calm,,,1252,,,,,,,1994-11-22,ANWAC1F,"AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder","ANWAC1F_AX-58 hydrophones, WHOI transistor amplifier, Crown tape recorder",train
